4447212	4451333	4122	1	4122	4122	99.98	5069678	4122	0.08	100.00	gi|215485161|ref|NC_011601.1|Escherichia_coli_O127:H6_str.E2348/69_chromosome+plasmids,complete_genome	contig-1
4409124	4413245	4122	1	4122	4122	99.73	5179971	4122	0.08	100.00	gi|91209055|ref|NC_007946.1|Escherichia_coli_UTI89_chromosome+plasmid,complete_genome	contig-1
3075115	3077551	1	2437	2437	2437	100.00	4641652	2437	0.05	100.00	gi|556503834|ref|NC_000913.3|Escherichia_coli_str._K-12_substr._MG1655,complete_genome	contig-10
978083	980519	2437	1	2437	2437	97.66	5437407	2437	0.04	100.00	gi|407479587|ref|NC_018658.1|Escherichia_coli_O104:H4_str._2011C-3493_chromosome+plasmids,complete_genome	contig-10
572105	573192	1	1088	1088	1088	99.63	5437407	1088	0.02	100.00	gi|407479587|ref|NC_018658.1|Escherichia_coli_O104:H4_str._2011C-3493_chromosome+plasmids,complete_genome	contig-100
3380083	3381170	1088	1	1088	1088	99.91	4641652	1088	0.02	100.00	gi|556503834|ref|NC_000913.3|Escherichia_coli_str._K-12_substr._MG1655,complete_genome	contig-100
3895540	3896564	1	1025	1025	1025	99.90	5069678	1025	0.02	100.00	gi|215485161|ref|NC_011601.1|Escherichia_coli_O127:H6_str.E2348/69_chromosome+plasmids,complete_genome	contig-1000
3916741	3917765	1	1025	1025	1025	99.80	5179971	1025	0.02	100.00	gi|91209055|ref|NC_007946.1|Escherichia_coli_UTI89_chromosome+plasmid,complete_genome	contig-1000
468688	470209	1522	1	1522	1522	100.00	5069678	1522	0.03	100.00	gi|215485161|ref|NC_011601.1|Escherichia_coli_O127:H6_str.E2348/69_chromosome+plasmids,complete_genome	contig-1000004
5193843	5197099	1	3199	3257	3199	92.85	5437407	3199	0.06	100.00	gi|407479587|ref|NC_018658.1|Escherichia_coli_O104:H4_str._2011C-3493_chromosome+plasmids,complete_genome	contig-1000009
4215403	4218601	3199	1	3199	3199	100.00	5179971	3199	0.06	100.00	gi|91209055|ref|NC_007946.1|Escherichia_coli_UTI89_chromosome+plasmid,complete_genome	contig-1000009
2506073	2507489	1	1417	1417	1417	100.00	4641652	1417	0.03	100.00	gi|556503834|ref|NC_000913.3|Escherichia_coli_str._K-12_substr._MG1655,complete_genome	contig-1000012
2020564	2021685	1	1122	1122	1122	100.00	4641652	1122	0.02	100.00	gi|556503834|ref|NC_000913.3|Escherichia_coli_str._K-12_substr._MG1655,complete_genome	contig-1000013
2079073	2080194	1122	1	1122	1122	98.84	5437407	1122	0.02	100.00	gi|407479587|ref|NC_018658.1|Escherichia_coli_O104:H4_str._2011C-3493_chromosome+plasmids,complete_genome	contig-1000013
